date,,,,,,,new_cases
4/18/2022,,,,,,,559
4/19/2022,,,,,,,837
4/20/2022,,,,,,,0
4/21/2022,,,,,,,1326
4/22/2022,,,,,,,651
4/23/2022,,,,,,,522
4/24/2022,,,,,,,382
4/25/2022,,,,,,,317
4/26/2022,,,,,,,576
4/27/2022,,,,,,,617
4/28/2022,,,,,,,412
4/29/2022,,,,,,,395
4/30/2022,,,,,,,329
5/1/2022,,,,,,,244
5/2/2022,,,,,,,168
5/3/2022,,,,,,,107
5/4/2022,,,,,,,176
5/5/2022,,,,,,,250
5/6/2022,,,,,,,245
5/7/2022,,,,,,,218
5/8/2022,,,,,,,227
5/9/2022,,,,,,,254
5/10/2022,,,,,,,0
5/11/2022,,,,,,,0
5/12/2022,,,,,,,1191
5/13/2022,,,,,,,335
5/14/2022,,,,,,,308
5/15/2022,,,,,,,257
5/16/2022,,,,,,,182
5/17/2022,,,,,,,247
5/18/2022,,,,,,,327
5/19/2022,,,,,,,318
5/20/2022,,,,,,,250
5/21/2022,,,,,,,263
5/22/2022,,,,,,,227
5/23/2022,,,,,,,174
5/24/2022,,,,,,,345
5/25/2022,,,,,,,315
5/26/2022,,,,,,,246
5/27/2022,,,,,,,224
5/28/2022,,,,,,,279
5/29/2022,,,,,,,242
5/30/2022,,,,,,,218
5/31/2022,,,,,,,340
6/1/2022,,,,,,,368
6/2/2022,,,,,,,304
6/3/2022,,,,,,,372
6/4/2022,,,,,,,395
6/5/2022,,,,,,,388
6/6/2022,,,,,,,342
6/7/2022,,,,,,,518
6/8/2022,,,,,,,520
6/9/2022,,,,,,,556
6/10/2022,,,,,,,627
6/11/2022,,,,,,,574
6/12/2022,,,,,,,551
6/13/2022,,,,,,,591
6/14/2022,,,,,,,930
6/15/2022,,,,,,,1242
6/16/2022,,,,,,,1173
6/17/2022,,,,,,,1220
6/18/2022,,,,,,,1264
6/19/2022,,,,,,,1167
6/20/2022,,,,,,,1180
6/21/2022,,,,,,,1678
6/22/2022,,,,,,,1985
6/23/2022,,,,,,,1907
6/24/2022,,,,,,,2069
6/25/2022,,,,,,,1831
